Nombre,Activa,Condiciones,Destino,Dificultad,Duración,Días de salida,Fuente sheet,Horario,Incluye,Link EN,Link ES,Link PT,Moneda,NETO,Notas,Observaciones,Política menores,Precio menor,Proveedor,Ref. verificación,Tarifario web,Tipo,Validez desde,Validez hasta,photo_url,Categoría paquete
PQT 05 TRANSFER IN/OUT + CAT ARG + CAT BRS (REGULAR),Yes,,Iguazú,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1DpPL4uF4ZhW6zNeLJZlkBOoMh7Yyaex_?usp=sharing,https://drive.google.com/drive/folders/15MngePCAXV_A8dQ6M-Mrm-A-tzcc1XiC?usp=sharing,https://drive.google.com/file/d/1tgA6b2V84q24xB3q2d3A7A4ooEHYu9vb/view?usp=sharing,ARS,"81,000","01 A 03 AÑOS, NO ABONA CON 02 PAGANTES. A PARTIR DE 04 AÑOS, ABONA TARIFA NORMAL.",Argentino: Combinable con TRF OUT a partir de las 17.30 hs // Brasilero: Combinable con TRF IN hasta las 11 hs y TRF OUT a partir de las 18.30 hs,Mismo adulto,,CARACOL,IGUAZÚ > CARACOL > PQT 05 TRANSFER IN/OUT + CAT ARG + CAT BRS (REGULAR) | Hasta el 30/06/26,https://caracolturismo.tur.ar/acceso-exclusivo/,Excursión regular,,"June 30, 2026","https://loremflickr.com/600/375/iguazu,misiones,argentina,transport,road,landscape/all?lock=702",Base
PQT 05 TRANSFER IN/OUT + CAT ARG + CAT BRS (REGULAR),Yes,,Iguazú,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1DpPL4uF4ZhW6zNeLJZlkBOoMh7Yyaex_?usp=sharing,https://drive.google.com/drive/folders/15MngePCAXV_A8dQ6M-Mrm-A-tzcc1XiC?usp=sharing,https://drive.google.com/file/d/1tgA6b2V84q24xB3q2d3A7A4ooEHYu9vb/view?usp=sharing,ARS,"90,000","01 A 03 AÑOS, NO ABONA CON 02 PAGANTES. A PARTIR DE 04 AÑOS, ABONA TARIFA NORMAL.",Argentino: Combinable con TRF OUT a partir de las 17.30 hs // Brasilero: Combinable con TRF IN hasta las 11 hs y TRF OUT a partir de las 18.30 hs,Mismo adulto,,CARACOL,IGUAZÚ > CARACOL > PQT 05 TRANSFER IN/OUT + CAT ARG + CAT BRS (REGULAR) | Del 01/07/2026 al 31/12/2026,https://caracolturismo.tur.ar/acceso-exclusivo/,Excursión regular,"July 1, 2026","December 31, 2026","https://loremflickr.com/600/375/iguazu,misiones,argentina,transport,road,landscape/all?lock=20779",Base
PQT 01A TRANSFER IN/OUT + CAT ARG (REGULAR),Yes,,Iguazú,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1DpPL4uF4ZhW6zNeLJZlkBOoMh7Yyaex_?usp=sharing,https://drive.google.com/drive/folders/15MngePCAXV_A8dQ6M-Mrm-A-tzcc1XiC?usp=sharing,https://drive.google.com/file/d/1tgA6b2V84q24xB3q2d3A7A4ooEHYu9vb/view?usp=sharing,ARS,"48,200","01 A 03 AÑOS, NO ABONA CON 02 PAGANTES. A PARTIR DE 04 AÑOS, ABONA TARIFA NORMAL.",Combinable con TRF OUT a partir de las 17.30 hs,Mismo adulto,,CARACOL,IGUAZÚ > CARACOL > PQT 01A TRANSFER IN/OUT + CAT ARG (REGULAR) | Hasta el 30/06/26,https://caracolturismo.tur.ar/acceso-exclusivo/,Excursión regular,,"June 30, 2026","https://loremflickr.com/600/375/iguazu,misiones,argentina,transport,road,landscape/all?lock=19771",Base
PQT 01A TRANSFER IN/OUT + CAT ARG (REGULAR),Yes,,Iguazú,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1DpPL4uF4ZhW6zNeLJZlkBOoMh7Yyaex_?usp=sharing,https://drive.google.com/drive/folders/15MngePCAXV_A8dQ6M-Mrm-A-tzcc1XiC?usp=sharing,https://drive.google.com/file/d/1tgA6b2V84q24xB3q2d3A7A4ooEHYu9vb/view?usp=sharing,ARS,"50,800","01 A 03 AÑOS, NO ABONA CON 02 PAGANTES. A PARTIR DE 04 AÑOS, ABONA TARIFA NORMAL.",Combinable con TRF OUT a partir de las 17.30 hs,Mismo adulto,,CARACOL,IGUAZÚ > CARACOL > PQT 01A TRANSFER IN/OUT + CAT ARG (REGULAR) | Del 01/07/2026 al 31/12/2026,https://caracolturismo.tur.ar/acceso-exclusivo/,Excursión regular,"July 1, 2026","December 31, 2026","https://loremflickr.com/600/375/iguazu,misiones,argentina,transport,road,landscape/all?lock=38440",Base
PQTE 01B TRANSFER IN/OUT + CAT BRS (REGULAR),Yes,,Iguazú,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1DpPL4uF4ZhW6zNeLJZlkBOoMh7Yyaex_?usp=sharing,https://drive.google.com/drive/folders/15MngePCAXV_A8dQ6M-Mrm-A-tzcc1XiC?usp=sharing,https://drive.google.com/file/d/1tgA6b2V84q24xB3q2d3A7A4ooEHYu9vb/view?usp=sharing,ARS,"55,000","01 A 03 AÑOS, NO ABONA CON 02 PAGANTES. A PARTIR DE 04 AÑOS, ABONA TARIFA NORMAL.",Combinable con TRF IN hasta las 11 hs // Combinable con TRF OUT a partir de las 18.30 hs,Mismo adulto,,CARACOL,IGUAZÚ > CARACOL > PQTE 01B TRANSFER IN/OUT + CAT BRS (REGULAR) | Hasta el 30/06/26,https://caracolturismo.tur.ar/acceso-exclusivo/,Excursión regular,,"June 30, 2026","https://loremflickr.com/600/375/iguazu,misiones,argentina,transport,road,landscape/all?lock=65882",Base
PQTE 01B TRANSFER IN/OUT + CAT BRS (REGULAR),Yes,,Iguazú,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1DpPL4uF4ZhW6zNeLJZlkBOoMh7Yyaex_?usp=sharing,https://drive.google.com/drive/folders/15MngePCAXV_A8dQ6M-Mrm-A-tzcc1XiC?usp=sharing,https://drive.google.com/file/d/1tgA6b2V84q24xB3q2d3A7A4ooEHYu9vb/view?usp=sharing,ARS,"61,000","01 A 03 AÑOS, NO ABONA CON 02 PAGANTES. A PARTIR DE 04 AÑOS, ABONA TARIFA NORMAL.",Combinable con TRF IN hasta las 11 hs // Combinable con TRF OUT a partir de las 18.30 hs,Mismo adulto,,CARACOL,IGUAZÚ > CARACOL > PQTE 01B TRANSFER IN/OUT + CAT BRS (REGULAR) | Del 01/07/2026 al 31/12/2026,https://caracolturismo.tur.ar/acceso-exclusivo/,Excursión regular,"July 1, 2026","December 31, 2026","https://loremflickr.com/600/375/iguazu,misiones,argentina,transport,road,landscape/all?lock=80154",Base
CITY CON HITO,Yes,,Iguazú,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1DpPL4uF4ZhW6zNeLJZlkBOoMh7Yyaex_?usp=sharing,https://drive.google.com/drive/folders/15MngePCAXV_A8dQ6M-Mrm-A-tzcc1XiC?usp=sharing,https://drive.google.com/file/d/1tgA6b2V84q24xB3q2d3A7A4ooEHYu9vb/view?usp=sharing,ARS,"22,400","01 A 03 AÑOS, NO ABONA CON 02 PAGANTES. A PARTIR DE 04 AÑOS, ABONA TARIFA NORMAL.","OPERA: Salidas Regulares los días lunes, miércoles y sábado a las 9 horas / -Es factible combinar con el transfer Out en regular con vuelos que partan a partir de las 17 horas.",Mismo adulto,,CARACOL,IGUAZÚ > CARACOL > CITY CON HITO | Hasta el 30/06/26,https://caracolturismo.tur.ar/acceso-exclusivo/,Excursión regular,,"June 30, 2026","https://loremflickr.com/600/375/iguazu,misiones,argentina,tour,travel,outdoor/all?lock=84377",Upsell
CITY CON HITO,Yes,,Iguazú,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1DpPL4uF4ZhW6zNeLJZlkBOoMh7Yyaex_?usp=sharing,https://drive.google.com/drive/folders/15MngePCAXV_A8dQ6M-Mrm-A-tzcc1XiC?usp=sharing,https://drive.google.com/file/d/1tgA6b2V84q24xB3q2d3A7A4ooEHYu9vb/view?usp=sharing,ARS,"24,000","01 A 03 AÑOS, NO ABONA CON 02 PAGANTES. A PARTIR DE 04 AÑOS, ABONA TARIFA NORMAL.","OPERA: Salidas Regulares los días lunes, miércoles y sábado a las 9 horas / -Es factible combinar con el transfer Out en regular con vuelos que partan a partir de las 17 horas.",Mismo adulto,,CARACOL,IGUAZÚ > CARACOL > CITY CON HITO | Del 01/07/2026 al 31/12/2026,https://caracolturismo.tur.ar/acceso-exclusivo/,Excursión regular,"July 1, 2026","December 31, 2026","https://loremflickr.com/600/375/iguazu,misiones,argentina,tour,travel,outdoor/all?lock=13715",Upsell
EXC CAT BRASILERAS + PARQUE DE AVES,Yes,,Iguazú,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1DpPL4uF4ZhW6zNeLJZlkBOoMh7Yyaex_?usp=sharing,https://drive.google.com/drive/folders/15MngePCAXV_A8dQ6M-Mrm-A-tzcc1XiC?usp=sharing,https://drive.google.com/file/d/1tgA6b2V84q24xB3q2d3A7A4ooEHYu9vb/view?usp=sharing,ARS,"60,800","01 A 03 AÑOS, NO ABONA CON 02 PAGANTES. A PARTIR DE 04 AÑOS, ABONA TARIFA NORMAL.",Desde Iguazú: salidas regulares diarias por la mañana a partir de las 07:30 h. \*\*\* NO INCLUYE INGRESOS AL PARQUE DE AVES\*\*\*,Mismo adulto,,CARACOL,IGUAZÚ > CARACOL > EXC CAT BRASILERAS + PARQUE DE AVES | Hasta el 30/06/26,https://caracolturismo.tur.ar/acceso-exclusivo/,Excursión regular,,"June 30, 2026","https://loremflickr.com/600/375/iguazu,misiones,argentina,birds,parrot,jungle/all?lock=94954",Upsell
EXC CAT BRASILERAS + PARQUE DE AVES,Yes,,Iguazú,,,,https://docs.google.com/spreadsheets/d/1RKBuvSps2OwtNY7KqniQcd7hpTAI4JRA/edit,,,https://drive.google.com/drive/folders/1DpPL4uF4ZhW6zNeLJZlkBOoMh7Yyaex_?usp=sharing,https://drive.google.com/drive/folders/15MngePCAXV_A8dQ6M-Mrm-A-tzcc1XiC?usp=sharing,https://drive.google.com/file/d/1tgA6b2V84q24xB3q2d3A7A4ooEHYu9vb/view?usp=sharing,ARS,"65,600","01 A 03 AÑOS, NO ABONA CON 02 PAGANTES. A PARTIR DE 04 AÑOS, ABONA TARIFA NORMAL.",Desde Iguazú: salidas regulares diarias por la mañana a partir de las 07:30 h. \*\*\* NO INCLUYE INGRESOS AL PARQUE DE AVES\*\*\*,Mismo adulto,,CARACOL,IGUAZÚ > CARACOL > EXC CAT BRASILERAS + PARQUE DE AVES | Del 01/07/2026 al 31/12/2026,https://caracolturismo.tur.ar/acceso-exclusivo/,Excursión regular,"July 1, 2026","December 31, 2026","https://loremflickr.com/600/375/iguazu,misiones,argentina,birds,parrot,jungle/all?lock=75436",Upsell
